iter	Passed	Remaining
0	57	57237
1	57	28706
2	57	19199
3	58	14445
4	58	11587
5	58	9683
6	58	8322
7	58	7299
8	59	6506
9	59	5871
10	59	5352
11	59	4918
12	59	4551
13	60	4236
14	60	3969
15	60	3736
16	60	3526
17	61	3338
18	61	3171
19	61	3021
20	61	2884
21	62	2760
22	62	2648
23	62	2545
24	62	2449
25	63	2364
26	63	2282
27	63	2206
28	63	2135
29	63	2069
30	64	2007
31	64	1948
32	64	1894
33	64	1843
34	65	1794
35	65	1748
36	65	1705
37	65	1664
38	66	1627
39	66	1605
40	67	1569
41	67	1535
42	67	1502
43	67	1471
44	67	1441
45	68	1413
46	68	1386
47	68	1360
48	68	1335
49	69	1311
50	69	1287
51	69	1265
52	69	1243
53	69	1222
54	69	1202
55	70	1182
56	70	1164
57	70	1146
58	70	1130
59	71	1113
60	71	1097
61	71	1081
62	71	1066
63	71	1051
64	72	1037
65	72	1023
66	72	1010
67	72	996
68	72	984
69	73	971
70	73	959
71	73	947
72	73	935
73	73	925
74	74	914
75	74	904
76	74	894
77	74	884
78	75	874
79	75	865
80	75	855
81	75	846
82	75	836
83	75	827
84	76	818
85	76	810
86	76	802
87	76	793
88	76	786
89	77	778
90	77	771
91	77	764
92	77	758
93	77	751
94	78	744
95	78	738
96	78	732
97	78	725
98	79	719
99	79	712
100	79	706
101	79	701
102	79	695
103	80	689
104	80	683
105	80	678
106	80	672
107	80	668
108	81	663
109	81	658
110	81	653
111	81	648
112	81	643
113	82	638
114	82	633
115	82	629
116	82	624
117	83	620
118	83	616
119	83	611
120	83	607
121	83	603
122	84	599
123	84	594
124	84	590
125	84	587
126	84	582
127	84	578
128	85	575
129	85	572
130	85	569
131	86	565
132	86	562
133	86	558
134	86	555
135	87	552
136	87	549
137	87	546
138	87	542
139	87	539
140	88	536
141	88	532
142	88	529
143	88	526
144	88	523
145	88	520
146	89	517
147	89	514
148	89	511
149	89	508
150	89	505
151	90	503
152	90	500
153	90	497
154	90	495
155	91	492
156	91	489
157	91	487
158	91	484
159	91	482
160	91	479
161	92	476
162	92	474
163	92	471
164	92	469
165	92	467
166	93	464
167	93	462
168	93	459
169	93	457
170	93	455
171	94	453
172	94	450
173	94	448
174	94	446
175	94	444
176	95	442
177	95	440
178	95	438
179	95	435
180	95	433
181	96	431
182	96	430
183	96	428
184	96	426
185	96	424
186	97	422
187	97	420
188	97	418
189	97	416
190	97	414
191	98	413
192	98	411
193	98	409
194	98	407
195	99	406
196	99	404
197	99	402
198	99	401
199	99	399
200	100	397
201	100	396
202	100	394
203	100	393
204	100	391
205	101	389
206	101	388
207	101	386
208	101	385
209	101	383
210	102	382
211	102	380
212	102	379
213	102	377
214	102	376
215	103	374
216	103	373
217	103	371
218	103	370
219	104	369
220	104	367
221	104	366
222	104	364
223	104	363
224	105	361
225	105	360
226	105	359
227	105	357
228	105	356
229	106	355
230	106	353
231	106	352
232	106	351
233	106	350
234	107	348
235	107	347
236	107	346
237	107	344
238	107	343
239	108	342
240	108	341
241	108	340
242	108	339
243	109	337
244	109	336
245	109	335
246	109	334
247	110	333
248	110	332
249	110	331
250	110	330
251	110	329
252	111	328
253	111	326
254	111	325
255	111	324
256	111	323
257	112	322
258	112	321
259	112	320
260	112	319
261	112	318
262	113	316
263	113	315
264	113	314
265	113	313
266	113	312
267	114	311
268	114	310
269	114	309
270	114	308
271	114	307
272	115	306
273	115	305
274	115	304
275	115	303
276	115	302
277	116	301
278	116	300
279	116	299
280	116	298
281	116	297
282	117	296
283	117	295
284	117	295
285	117	294
286	118	293
287	118	292
288	118	291
289	118	290
290	118	289
291	119	288
292	119	288
293	119	287
294	119	286
295	119	285
296	120	284
297	120	283
298	120	282
299	120	281
300	121	281
301	121	280
302	121	279
303	121	278
304	121	277
305	122	276
306	122	276
307	122	275
308	122	274
309	123	273
310	123	273
311	123	272
312	123	271
313	124	271
314	124	270
315	124	270
316	125	269
317	125	269
318	125	268
319	126	267
320	126	267
321	126	266
322	126	265
323	127	265
324	127	264
325	127	263
326	127	263
327	128	262
328	128	262
329	128	261
330	129	260
331	129	260
332	129	260
333	130	259
334	130	259
335	130	258
336	131	258
337	131	257
338	131	256
339	131	256
340	132	255
341	132	255
342	132	254
343	133	254
344	133	253
345	133	252
346	133	251
347	134	251
348	134	250
349	134	249
350	134	249
351	134	248
352	135	247
353	135	246
354	135	246
355	135	245
356	135	244
357	136	244
358	136	243
359	136	242
360	136	242
361	137	241
362	137	240
363	137	240
364	137	239
365	137	238
366	138	238
367	138	237
368	138	236
369	138	236
370	138	235
371	139	234
372	139	234
373	139	233
374	139	233
375	140	232
376	140	231
377	140	231
378	140	230
379	140	229
380	141	229
381	141	228
382	141	228
383	141	227
384	141	226
385	142	226
386	142	225
387	142	224
388	142	224
389	142	223
390	143	223
391	143	222
392	143	221
393	143	221
394	144	220
395	144	220
396	144	219
397	144	218
398	144	218
399	145	217
400	145	217
401	145	216
402	145	215
403	145	215
404	146	214
405	146	214
406	146	213
407	146	212
408	146	212
409	147	211
410	147	211
411	147	210
412	147	210
413	148	209
414	148	209
415	148	208
416	148	208
417	149	207
418	149	207
419	149	206
420	149	205
421	149	205
422	150	204
423	150	204
424	150	203
425	150	203
426	150	202
427	151	201
428	151	201
429	151	200
430	151	200
431	151	199
432	152	199
433	152	198
434	152	198
435	152	197
436	152	197
437	153	196
438	153	195
439	153	195
440	153	194
441	153	194
442	154	193
443	154	193
444	154	192
445	154	192
446	154	191
447	155	191
448	155	190
449	155	190
450	155	189
451	155	189
452	156	188
453	156	188
454	156	187
455	156	187
456	157	186
457	157	186
458	157	185
459	157	185
460	157	184
461	157	183
462	158	183
463	158	182
464	158	182
465	158	181
466	158	181
467	159	180
468	159	180
469	159	179
470	159	179
471	159	178
472	160	178
473	160	177
474	160	177
475	160	177
476	161	176
477	161	176
478	161	175
479	161	175
480	161	174
481	162	174
482	162	173
483	162	173
484	162	172
485	162	172
486	163	171
487	163	171
488	163	170
489	163	170
490	163	169
491	164	169
492	164	168
493	164	168
494	164	167
495	164	167
496	165	167
497	165	166
498	165	166
499	165	165
500	165	165
501	165	164
502	166	164
503	166	163
504	166	163
505	166	162
506	166	162
507	167	161
508	167	161
509	167	161
510	167	160
511	168	160
512	168	159
513	168	159
514	168	158
515	168	158
516	169	158
517	169	157
518	169	157
519	169	156
520	170	156
521	170	155
522	170	155
523	170	155
524	170	154
525	171	154
526	171	153
527	171	153
528	171	152
529	172	152
530	172	152
531	173	152
532	173	151
533	173	151
534	173	151
535	174	150
536	174	150
537	174	149
538	174	149
539	174	148
540	175	148
541	175	148
542	175	147
543	175	147
544	175	146
545	176	146
546	176	146
547	176	145
548	176	145
549	177	144
550	177	144
551	177	144
552	177	143
553	178	143
554	178	142
555	178	142
556	178	142
557	178	141
558	179	141
559	179	140
560	179	140
561	179	139
562	179	139
563	180	139
564	180	138
565	180	138
566	180	137
567	180	137
568	181	137
569	181	136
570	181	136
571	181	136
572	182	135
573	182	135
574	182	134
575	182	134
576	182	134
577	183	133
578	183	133
579	183	132
580	183	132
581	184	132
582	184	131
583	184	131
584	184	131
585	185	130
586	185	130
587	185	129
588	185	129
589	186	129
590	186	128
591	186	128
592	186	128
593	186	127
594	187	127
595	187	126
596	187	126
597	187	126
598	188	125
599	188	125
600	188	125
601	188	124
602	188	124
603	189	123
604	189	123
605	189	123
606	189	122
607	189	122
608	190	122
609	190	121
610	190	121
611	190	120
612	190	120
613	191	120
614	191	119
615	191	119
616	191	119
617	192	118
618	192	118
619	192	117
620	192	117
621	192	117
622	192	116
623	193	116
624	193	116
625	193	115
626	193	115
627	194	114
628	194	114
629	194	114
630	194	113
631	195	113
632	195	113
633	195	112
634	195	112
635	195	112
636	196	111
637	196	111
638	196	111
639	197	110
640	197	110
641	197	110
642	197	109
643	197	109
644	198	109
645	198	108
646	198	108
647	198	108
648	199	107
649	199	107
650	199	106
651	199	106
652	199	106
653	200	105
654	200	105
655	200	105
656	200	104
657	201	104
658	201	104
659	201	103
660	201	103
661	201	103
662	202	102
663	202	102
664	202	101
665	202	101
666	202	101
667	203	100
668	203	100
669	203	100
670	203	99
671	203	99
672	204	99
673	204	98
674	204	98
675	204	98
676	204	97
677	205	97
678	205	97
679	205	96
680	205	96
681	206	96
682	206	95
683	206	95
684	206	95
685	207	94
686	207	94
687	207	94
688	207	93
689	207	93
690	208	93
691	208	92
692	208	92
693	208	91
694	208	91
695	209	91
696	209	90
697	209	90
698	209	90
699	209	89
700	210	89
701	210	89
702	210	88
703	210	88
704	210	88
705	211	87
706	211	87
707	211	87
708	211	86
709	212	86
710	212	86
711	212	85
712	212	85
713	212	85
714	213	84
715	213	84
716	213	84
717	213	83
718	213	83
719	214	83
720	214	82
721	214	82
722	214	82
723	214	81
724	215	81
725	215	81
726	215	80
727	215	80
728	216	80
729	216	79
730	216	79
731	216	79
732	216	79
733	217	78
734	217	78
735	217	78
736	217	77
737	217	77
738	218	77
739	218	76
740	218	76
741	218	76
742	218	75
743	219	75
744	219	75
745	219	74
746	219	74
747	219	74
748	220	73
749	220	73
750	220	73
751	220	72
752	220	72
753	221	72
754	221	71
755	221	71
756	221	71
757	221	70
758	222	70
759	222	70
760	222	69
761	222	69
762	222	69
763	223	68
764	223	68
765	223	68
766	223	68
767	224	67
768	224	67
769	224	67
770	224	66
771	224	66
772	225	66
773	225	65
774	225	65
775	225	65
776	225	64
777	226	64
778	226	64
779	226	63
780	226	63
781	226	63
782	227	62
783	227	62
784	227	62
785	227	62
786	227	61
787	228	61
788	228	61
789	228	60
790	228	60
791	229	60
792	229	59
793	229	59
794	229	59
795	229	58
796	230	58
797	230	58
798	230	57
799	230	57
800	230	57
801	231	57
802	231	56
803	231	56
804	231	56
805	231	55
806	232	55
807	232	55
808	232	54
809	232	54
810	232	54
811	233	53
812	233	53
813	233	53
814	233	53
815	233	52
816	234	52
817	234	52
818	234	51
819	234	51
820	234	51
821	235	50
822	235	50
823	235	50
824	235	49
825	235	49
826	235	49
827	236	49
828	236	48
829	236	48
830	236	48
831	236	47
832	237	47
833	237	47
834	237	46
835	237	46
836	237	46
837	238	46
838	238	45
839	238	45
840	238	45
841	238	44
842	239	44
843	239	44
844	239	43
845	239	43
846	239	43
847	240	43
848	240	42
849	240	42
850	240	42
851	240	41
852	241	41
853	241	41
854	241	40
855	241	40
856	241	40
857	242	40
858	242	39
859	242	39
860	242	39
861	242	38
862	243	38
863	243	38
864	243	37
865	243	37
866	243	37
867	244	37
868	244	36
869	244	36
870	244	36
871	244	35
872	245	35
873	245	35
874	245	35
875	245	34
876	245	34
877	246	34
878	246	33
879	246	33
880	246	33
881	246	33
882	247	32
883	247	32
884	247	32
885	247	31
886	247	31
887	248	31
888	248	30
889	248	30
890	248	30
891	248	30
892	249	29
893	249	29
894	249	29
895	249	28
896	249	28
897	250	28
898	250	28
899	250	27
900	250	27
901	250	27
902	251	26
903	251	26
904	251	26
905	251	26
906	251	25
907	252	25
908	252	25
909	252	24
910	252	24
911	252	24
912	253	24
913	253	23
914	253	23
915	253	23
916	253	22
917	254	22
918	254	22
919	254	22
920	254	21
921	254	21
922	255	21
923	255	20
924	255	20
925	255	20
926	255	20
927	256	19
928	256	19
929	256	19
930	256	19
931	256	18
932	257	18
933	257	18
934	257	17
935	257	17
936	257	17
937	258	17
938	258	16
939	258	16
940	258	16
941	258	15
942	258	15
943	259	15
944	259	15
945	259	14
946	259	14
947	260	14
948	260	13
949	260	13
950	260	13
951	260	13
952	261	12
953	261	12
954	261	12
955	261	12
956	261	11
957	262	11
958	262	11
959	262	10
960	262	10
961	262	10
962	263	10
963	263	9
964	263	9
965	263	9
966	263	9
967	263	8
968	264	8
969	264	8
970	264	7
971	264	7
972	264	7
973	265	7
974	265	6
975	265	6
976	265	6
977	265	5
978	266	5
979	266	5
980	266	5
981	266	4
982	266	4
983	267	4
984	267	4
985	267	3
986	267	3
987	267	3
988	268	2
989	268	2
990	268	2
991	268	2
992	268	1
993	269	1
994	269	1
995	269	1
996	269	0
997	269	0
998	270	0
999	270	0
